# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	389086
#@/user_id	mac
a 	啊	c=2090 d=6.0343 t=389086
ban 	办	c=20 d=3.68632e-25 t=389086
ban 	半	c=36 d=1.09557e-21 t=389086
ban 	拌	c=1 d=3.05801e-150 t=389086
ban 	搬	c=18 d=7.63639e-05 t=389086
ban 	板	c=9 d=2.85033e-49 t=389086
ban 	班	c=28 d=2.51399e-22 t=389086
ban ban 	斑斑	c=14 d=5.27455e-34 t=389086
ban ben 	版本	c=934 d=5.23983 t=389086
ban cheng pin 	半成品	c=1 d=5.92007e-245 t=389086
ban dao ti 	半导体	c=1 d=2.15569e-301 t=389086
ban deng 	板凳	c=1 d=6.96823e-16 t=389086
ban dian 	半点	c=1 d=1.13649e-299 t=389086
ban fa 	办法	c=72 d=0.510929 t=389086
ban ge 	半个	c=6 d=2.70446e-87 t=389086
ban ge duo yue 	半个多月	c=1 d=0 t=389086
ban ge yue 	半个月	c=12 d=3.95091e-17 t=389086
ban gong 	办公	c=5 d=2.00891e-148 t=389086
ban gong shi 	办公室	c=1 d=2.02999e-65 t=389086
ban gong si 	办公司	c=1 d=3.39169e-45 t=389086
ban jia 	搬家	c=4 d=2.2049e-09 t=389086
ban jin 	半斤	c=5 d=5.21141e-10 t=389086
ban lan 	斑斓	c=1 d=9.5231e-220 t=389086
ban lv 	伴侣	c=2 d=2.60433e-189 t=389086
ban nian 	半年	c=31 d=0.0665368 t=389086
ban nian duo 	半年多	c=2 d=1.86285e-109 t=389086
ban nian qian 	半年前	c=2 d=1.34017e-121 t=389086
ban quan 	版权	c=8 d=3.01463e-129 t=389086
ban shan yao 	半山腰	c=1 d=9.48428e-172 t=389086
ban tian 	半天	c=56 d=7.92856e-27 t=389086
ban xiao shi 	半小时	c=3 d=3.2705e-205 t=389086
ban xue 	半血	c=1 d=2.26103e-39 t=389086
ban ye 	半夜	c=7 d=2.30435e-27 t=389086
ban yun 	搬运	c=1 d=2.86391e-202 t=389086
ban zhang 	班长	c=1 d=2.04538e-95 t=389086
ban zhu 	版主	c=1 d=1.08881e-236 t=389086
ban zi 	板子	c=6 d=5.7933e-20 t=389086
ban zou 	伴奏	c=15 d=3.21373e-53 t=389086
ban zou 	搬走	c=1 d=5.25527e-226 t=389086
bang 	帮	c=9 d=1.72872e-28 t=389086
bang 	绑	c=1 d=2.72227e-76 t=389086
bang bang 	帮帮	c=2 d=2.86011e-157 t=389086
bang dang 	帮当	c=1 d=3.46069e-76 t=389086
bang ding 	绑定	c=65 d=8.17425e-41 t=389086
bang jia 	绑架	c=1 d=1.92672e-39 t=389086
bang mang 	帮忙	c=444 d=0.618723 t=389086
bang shou 	帮手	c=1 d=1.35979e-233 t=389086
bang wo 	帮我	c=4 d=1.90341e-131 t=389086
bang zhu 	帮助	c=1 d=0.18452 t=389086
bao 	保	c=2 d=0 t=389086
bao 	包	c=447 d=4.47402 t=389086
bao 	宝	c=13 d=2.56748e-05 t=389086
bao 	报	c=411 d=0.606713 t=389086
bao 	爆	c=8 d=1.37274e-80 t=389086
bao an 	保安	c=5 d=1.12833e-195 t=389086
bao an 	宝安	c=1 d=1.49571e-295 t=389086
bao bao 	宝宝	c=7 d=9.95175e-88 t=389086
bao bei 	宝贝	c=1 d=3.92268e-109 t=389086
bao bei 	报备	c=2 d=2.14189e-206 t=389086
bao biao 	报表	c=32 d=0.000122794 t=389086
bao chi 	保持	c=29 d=1.03098e-06 t=389086
bao chuo 	保戳	c=2 d=1.78066e-229 t=389086
bao cun 	保存	c=83 d=0.00740653 t=389086
bao cuo 	报错	c=154 d=0.181772 t=389086
bao da 	暴打	c=4 d=9.35573e-41 t=389086
bao dian 	宝典	c=1 d=4.87953e-265 t=389086
bao fa 	爆发	c=1 d=8.55903e-229 t=389086
bao fu 	包袱	c=2 d=0 t=389086
bao gao 	报告	c=5 d=8.09593e-16 t=389086
bao guan li 	包管理	c=1 d=0 t=389086
bao guang 	曝光	c=13 d=4.68528e-52 t=389086
bao han 	包含	c=33 d=3.94069e-08 t=389086
bao he 	饱和	c=1 d=7.20055e-137 t=389086
bao hu 	保护	c=8 d=5.02483e-81 t=389086
bao hu mo shi 	保护模式	c=1 d=4.48616e-188 t=389086
bao huo 	保活	c=1 d=7.36181e-221 t=389086
bao jie 	宝洁	c=1 d=0 t=389086
bao jing 	报警	c=3 d=1.7364e-227 t=389086
bao ke 	宝可	c=1 d=2.10875e-153 t=389086
bao ke ma 	宝可吗	c=1 d=1.05436e-152 t=389086
bao ke meng 	宝可梦	c=2 d=7.20117e-150 t=389086
bao kuo 	包括	c=146 d=0.423564 t=389086
bao lei 	堡垒	c=1 d=6.83641e-291 t=389086
bao li 	暴力	c=1 d=2.86886e-46 t=389086
bao liu 	保留	c=9 d=0.0652193 t=389086
bao long 	暴龙	c=2 d=4.00264e-258 t=389086
bao lu 	暴露	c=25 d=1.16421e-08 t=389086
bao lu le 	暴露了	c=1 d=4.43275e-106 t=389086
bao mi 	保密	c=4 d=2.47143e-27 t=389086
bao ming 	包名	c=3 d=5.4835e-138 t=389086
bao ming 	报名	c=3 d=1.63857e-280 t=389086
bao qian 	抱歉	c=2 d=2.16897e-50 t=389086
bao sha cuo 	保啥错	c=1 d=0 t=389086
bao tou 	包头	c=2 d=3.30024e-282 t=389086
bao wen 	报文	c=2 d=1.46461e-68 t=389086
bao xian 	保险	c=6 d=9.04874e-119 t=389086
bao xiu 	保修	c=1 d=1.33316e-30 t=389086
bao xiu 	报修	c=1 d=5.78936e-12 t=389086
bao yang 	保养	c=1 d=1.74402e-14 t=389086
bao zhang 	保障	c=1 d=1.96464e-33 t=389086
bao zhe 	抱着	c=1 d=3.88948e-156 t=389086
bao zheng 	保证	c=25 d=1.91939e-53 t=389086
bao zheng 	暴政	c=1 d=0 t=389086
bao zhu 	保住	c=1 d=3.07648e-162 t=389086
bao zhuang 	包装	c=4 d=5.57022e-102 t=389086
bao zi 	包子	c=1 d=1.44189e-70 t=389086
bei 	倍	c=30 d=6.60431e-32 t=389086
bei 	北	c=3 d=9.18483e-30 t=389086
bei 	呗	c=5 d=4.2498e-22 t=389086
bei 	背	c=4 d=1.80941e-94 t=389086
bei 	被	c=325 d=0.797247 t=389086
bei 	贝	c=4 d=1.97348e-27 t=389086
bei ai 	悲哀	c=1 d=6.64759e-50 t=389086
bei dong 	被动	c=3 d=2.65893e-05 t=389086
bei fang 	北方	c=2 d=1.99142e-104 t=389086
bei fen 	备份	c=31 d=5.96668e-14 t=389086
bei hou 	背后	c=1 d=1.01684e-20 t=389086
bei jing 	北京	c=8 d=9.16891e-39 t=389086
bei jing 	背景	c=30 d=3.66356e-11 t=389086
bei lai 	被来	c=1 d=7.58779e-165 t=389086
bei ou 	北欧	c=1 d=3.15316e-40 t=389086
bei pan 	背叛	c=2 d=1.38516e-39 t=389086
bei ren 	被人	c=2 d=0 t=389086
bei sha 	被杀	c=1 d=1.09825e-220 t=389086
bei shu 	倍数	c=1 d=2.07523e-89 t=389086
bei wang lu 	备忘录	c=3 d=2.35924e-98 t=389086
bei wei 	卑微	c=1 d=3.95364e-172 t=389086
bei wo 	被我	c=15 d=3.99895e-12 t=389086
bei yong 	备用	c=7 d=8.00888e-124 t=389086
bei yong ji 	被用机	c=1 d=9.4418e-178 t=389086
bei zhu 	备注	c=21 d=1.46917e-114 t=389086
bei zi 	被子	c=2 d=1.78156e-88 t=389086
bei zi 	辈子	c=0 d=2.7335e-96 t=389086
ben 	本	c=21 d=5.37104e-12 t=389086
ben ci 	本次	c=1 d=0 t=389086
ben di 	本地	c=140 d=0.371577 t=389086
ben di bian yi 	本地编译	c=1 d=1.01876e-189 t=389086
ben fu 	奔赴	c=1 d=2.18476e-194 t=389086
ben hang 	本行	c=1 d=8.15374e-129 t=389086
ben ji 	本机	c=8 d=1.52083e-188 t=389086
ben jin 	本金	c=12 d=1.71711e-29 t=389086
ben ke 	本科	c=3 d=7.75444e-09 t=389086
ben lai 	本来	c=104 d=0.0480747 t=389086
ben neng 	本能	c=3 d=0 t=389086
ben qun 	本群	c=3 d=0 t=389086
ben ren 	本人	c=1 d=1.23311e-259 t=389086
ben shen 	本身	c=14 d=1.52378e-14 t=389086
ben ti 	本体	c=2 d=3.14779e-20 t=389086
ben wen 	本文	c=1 d=0 t=389086
ben wen jian 	本文件	c=1 d=1.54425e-259 t=389086
ben xiao 	本校	c=1 d=0 t=389086
ben xing 	本性	c=4 d=0 t=389086
ben zhou 	本周	c=4 d=2.26092e-146 t=389086
ben zi 	本子	c=2 d=1.89495e-108 t=389086
beng 	崩	c=110 d=5.19146e-33 t=389086
beng bu zhu 	崩不住	c=10 d=1.52109e-52 t=389086
beng bu zu 	崩不足	c=1 d=0 t=389086
beng kai 	崩开	c=1 d=5.9021e-33 t=389086
beng kui 	崩溃	c=5 d=1.08045e-113 t=389086
bi 	币	c=14 d=3.7087e-08 t=389086
bi 	必	c=9 d=2.38399e-15 t=389086
bi 	比	c=163 d=0.313486 t=389086
bi 	毕	c=3 d=1.73526e-43 t=389086
bi 	逼	c=8 d=2.09765e-39 t=389086
bi 	闭	c=1 d=3.79062e-206 t=389086
bi an 	彼岸	c=1 d=9.84147e-107 t=389086
bi bu liao 	比不了	c=2 d=0 t=389086
bi bu shang 	比不上	c=6 d=5.69678e-52 t=389086
bi chuan 	必传	c=1 d=1.38556e-248 t=389086
bi dai 	必带	c=9 d=4.65923e-272 t=389086
bi de shang 	比得上	c=2 d=4.02727e-165 t=389086
bi ding 	必定	c=1 d=4.9123e-138 t=389086
bi dui 	比对	c=1 d=1.69377e-258 t=389086
bi hua 	笔画	c=1 d=5.60326e-245 t=389086
bi hui 	避讳	c=1 d=3.08894e-92 t=389086
bi ji 	笔记	c=13 d=7.79016e-63 t=389086
bi ji ben 	笔记本	c=26 d=5.96364e-08 t=389086
bi jiang 	必将	c=2 d=4.35478e-250 t=389086
bi jiao 	比较	c=397 d=0.875896 t=389086
bi jiao duo 	比较多	c=1 d=1.34749e-185 t=389086
bi jiao hao 	比较好	c=1 d=7.52069e-90 t=389086
bi jing 	毕竟	c=96 d=0.289412 t=389086
bi ju 	鼻疽	c=1 d=0 t=389086
bi kai 	避开	c=4 d=0.97531 t=389086
bi li 	比例	c=20 d=1.24969e-34 t=389086
bi lv 	比率	c=33 d=0.000201534 t=389086
bi mian 	避免	c=83 d=0.120032 t=389086
bi ni 	比你	c=5 d=3.47035e-50 t=389086
bi qi lai 	比起来	c=1 d=4.45374e-44 t=389086
bi ran 	必然	c=6 d=1.69473e-59 t=389086
bi ru 	比如	c=429 d=0.480881 t=389086
bi ru shuo 	比如说	c=1 d=0 t=389086
bi sai 	比赛	c=2 d=3.09895e-130 t=389086
bi shi 	笔试	c=1 d=2.64527e-297 t=389086
bi shui 	避税	c=1 d=5.20901e-269 t=389086
bi si 	必死	c=2 d=1.4328e-25 t=389086
bi te bi 	比特币	c=2 d=2.94724e-304 t=389086
bi ti 	鼻涕	c=2 d=0.759572 t=389086
bi tian 	必填	c=11 d=1.39865e-06 t=389086
bi wo 	比我	c=15 d=2.90281e-08 t=389086
bi wo duo 	比我多	c=1 d=1.16898e-219 t=389086
bi wo gao 	比我高	c=1 d=1.23696e-90 t=389086
bi xian 	必现	c=14 d=9.51877e-09 t=389086
bi xu 	必须	c=113 d=0.285076 t=389086
bi xu chuan 	必须穿	c=1 d=8.45568e-145 t=389086
bi xu pin 	必需品	c=1 d=2.04407e-205 t=389086
bi xu yao 	必须要	c=1 d=6.3394e-256 t=389086
bi ya di 	比亚迪	c=1 d=4.94702e-162 t=389086
bi yan 	鼻炎	c=3 d=4.80549e-105 t=389086
bi yang 	逼样	c=1 d=0 t=389086
bi yao 	必要	c=27 d=6.16806e-42 t=389086
bi yao xing 	必要性	c=1 d=4.43156e-191 t=389086
bi ye 	毕业	c=22 d=0.0608101 t=389086
bi ye hou 	毕业后	c=1 d=1.42601e-263 t=389086
bi ye zheng 	毕业证	c=1 d=6.36942e-194 t=389086
bi zhong 	比重	c=1 d=1.04075e-205 t=389086
bi zi 	鼻子	c=1 d=0 t=389086
bian 	变	c=210 d=0.00507985 t=389086
bian 	编	c=16 d=3.27446e-35 t=389086
bian 	辩	c=1 d=1.73375e-209 t=389086
bian 	边	c=23 d=5.17355e-29 t=389086
bian 	遍	c=4 d=1.71823e-74 t=389086
bian bian 	边边	c=2 d=0 t=389086
bian bie 	辨别	c=1 d=0 t=389086
bian chang 	变长	c=2 d=2.46943e-135 t=389086
bian cheng 	变成	c=107 d=0.451309 t=389086
bian cheng 	编程	c=3 d=1.0754e-61 t=389086
bian da 	变大	c=3 d=1.23155e-156 t=389086
bian de 	变得	c=2 d=7.64117e-218 t=389086
bian dong 	变动	c=20 d=1.70241e-24 t=389086
bian gao 	边高	c=1 d=1.7894e-169 t=389086
bian geng 	变更	c=44 d=1.41488e-24 t=389086
bian hao 	变好	c=2 d=5.55708e-89 t=389086
bian hao 	编号	c=4 d=1.20379e-35 t=389086
bian hei 	变黑	c=1 d=2.35189e-267 t=389086
bian hua 	变化	c=121 d=0.000324983 t=389086
bian hui 	变回	c=1 d=1.9418e-160 t=389086
bian ji 	编辑	c=37 d=2.97266e-23 t=389086
bian ji qi 	编辑器	c=12 d=1.31865e-107 t=389086
bian jie 	边界	c=6 d=3.33041e-07 t=389086
bian ka 	变卡	c=1 d=1.93909e-173 t=389086
bian kuang 	边框	c=3 d=6.85915e-95 t=389086
bian li 	便利	c=15 d=1.1369e-127 t=389086
bian li 	遍历	c=24 d=1.16568e-127 t=389086
bian liang 	变量	c=46 d=1.31175e-16 t=389086
bian ma 	编码	c=38 d=7.09506e-16 t=389086
bian man 	变慢	c=1 d=9.08335e-252 t=389086
bian pao 	鞭炮	c=1 d=0 t=389086
bian ping 	扁平	c=2 d=7.99792e-283 t=389086
bian shen 	变身	c=1 d=3.35776e-250 t=389086
bian tai 	变态	c=3 d=6.2865e-40 t=389086
bian wei 	变为	c=4 d=2.81301e-50 t=389086
bian wei 	变味	c=1 d=0 t=389086
bian xiao 	变小	c=3 d=4.86824e-179 t=389086
bian xie 	编写	c=4 d=1.65323e-179 t=389086
bian yan se 	边颜色	c=1 d=2.83186e-246 t=389086
bian yi 	编译	c=48 d=0.509156 t=389086
bian yu 	便于	c=9 d=4.48845e-194 t=389086
bian yuan 	边缘	c=10 d=2.53556e-93 t=389086
bian yuan hua 	边缘化	c=1 d=5.74198e-268 t=389086
bian zhi 	贬值	c=4 d=7.72816e-116 t=389086
biao 	标	c=10 d=0.729789 t=389086
biao 	表	c=318 d=0.0156076 t=389086
biao da 	表达	c=3 d=2.9164e-151 t=389086
biao da shi 	表达式	c=5 d=4.50208e-259 t=389086
biao dan 	表单	c=3 d=9.03663e-206 t=389086
biao di 	表弟	c=1 d=0 t=389086
biao dian 	标点	c=1 d=0 t=389086
biao ge 	表格	c=61 d=0.000167885 t=389086
biao ji 	标记	c=1 d=2.19362e-124 t=389086
biao jia 	标价	c=1 d=2.36632e-192 t=389086
biao li 	表里	c=1 d=9.64699e-225 t=389086
biao mei 	表妹	c=1 d=5.60475e-160 t=389086
biao ming 	表明	c=3 d=1.19097e-56 t=389086
biao qian 	标签	c=26 d=4.0568e-151 t=389086
biao qian ye 	标签页	c=12 d=2.0002e-289 t=389086
biao qing 	表情	c=11 d=8.60081e-29 t=389086
biao qing bao 	表情报	c=1 d=1.22494e-34 t=389086
biao shi 	标识	c=9 d=3.08877e-297 t=389086
biao shi 	表示	c=100 d=2.34084e-06 t=389086
biao shi fu 	标识符	c=1 d=0 t=389086
biao ti 	标题	c=148 d=1.24436e-06 t=389086
biao tou 	表头	c=4 d=1.77304e-251 t=389086
biao xian 	表现	c=20 d=4.53309e-06 t=389086
biao yan 	表演	c=3 d=3.14504e-186 t=389086
biao zhang 	表彰	c=1 d=2.92774e-226 t=389086
biao zhi 	标志	c=2 d=0 t=389086
biao zhu 	标注	c=1 d=7.35609e-300 t=389086
biao zhun 	标准	c=27 d=0.00673795 t=389086
biao zi 	婊子	c=1 d=4.36828e-257 t=389086
bie 	别	c=90 d=2.92733e-05 t=389086
bie ba 	别把	c=1 d=3.80262e-155 t=389086
bie dong 	别动	c=2 d=3.60596e-120 t=389086
bie geng 	别更	c=1 d=3.11276e-06 t=389086
bie geng xin 	别更新	c=1 d=3.22364e-06 t=389086
bie guan 	别管	c=2 d=2.93929e-96 t=389086
bie ji 	别急	c=1 d=3.58919e-05 t=389086
bie juan 	别卷	c=2 d=0.110251 t=389086
bie kan 	别看	c=4 d=0.000121572 t=389086
bie mai 	别买	c=2 d=0 t=389086
bie ming 	别名	c=22 d=1.88439e-13 t=389086
bie qu 	别去	c=1 d=9.87798e-33 t=389086
bie ren 	别人	c=89 d=0.924268 t=389086
bie shu 	别墅	c=1 d=1.94213e-162 t=389086
bie shuo 	别说	c=18 d=2.06354e-52 t=389086
bie tai da 	别太大	c=1 d=4.86146e-192 t=389086
bie tian 	别填	c=1 d=4.30091e-280 t=389086
bie wang 	别忘	c=1 d=1.61418e-280 t=389086
bie xiang 	别想	c=2 d=3.03798e-14 t=389086
bie yong 	别用	c=5 d=3.86071e-10 t=389086
bin guan 	宾馆	c=1 d=0 t=389086
bin hai 	滨海	c=8 d=2.9755e-93 t=389086
bing 	兵	c=4 d=1.49501e-09 t=389086
bing 	冰	c=4 d=7.50106e-54 t=389086
bing 	并	c=38 d=0.00726273 t=389086
bing 	病	c=11 d=1.31922e-24 t=389086
bing 	饼	c=4 d=2.75666e-106 t=389086
bing bu 	并不	c=1 d=2.55106e-195 t=389086
bing bu ke pa 	并不可怕	c=1 d=4.68581e-259 t=389086
bing bu shi 	并不是	c=10 d=2.81654e-06 t=389086
bing bu yi yang 	并不一样	c=1 d=2.56384e-194 t=389086
bing bu zai 	并不在	c=1 d=6.60571e-152 t=389086
bing du 	病毒	c=6 d=6.17553e-105 t=389086
bing fa 	并发	c=7 d=2.37893e-28 t=389086
bing jia 	病假	c=4 d=3.19754e-28 t=389086
bing kuai 	冰块	c=0 d=0.0918512 t=389086
bing lie 	并列	c=5 d=6.81716e-126 t=389086
bing ma 	兵马	c=3 d=5.71061e-233 t=389086
bing mei you 	并没有	c=5 d=1.24345e-34 t=389086
bing qie 	并且	c=83 d=0.000750328 t=389086
bing shan 	冰山	c=1 d=0 t=389086
bing tang hu lu 	冰糖葫芦	c=1 d=2.09063e-264 t=389086
bing tu 	饼图	c=21 d=5.01868e-231 t=389086
bing xian ji 	并线机	c=1 d=0 t=389086
bing xiang 	冰箱	c=2 d=2.85953e-184 t=389086
bing xing 	并行	c=9 d=9.93804e-163 t=389086
bo 	博	c=10 d=3.76142e-27 t=389086
bo 	播	c=2 d=3.26898e-21 t=389086
bo 	波	c=16 d=1.28181e-09 t=389086
bo da 	博大	c=1 d=2.51143e-10 t=389086
bo de 	博得	c=1 d=1.60526e-303 t=389086
bo dian 	波点	c=214 d=0.0302093 t=389086
bo dong 	波动	c=63 d=1.39937e-12 t=389086
bo fang 	播放	c=9 d=1.50483e-20 t=389086
bo fen 	波分	c=1 d=1.92706e-188 t=389086
bo hui 	驳回	c=1 d=0 t=389086
bo ke 	博客	c=12 d=5.71598e-09 t=389086
bo lang 	波浪	c=1 d=1.20258e-170 t=389086
bo le 	伯乐	c=1 d=4.661e-226 t=389086
bo li 	玻璃	c=3 d=2.66094e-102 t=389086
bo lv 	博旅	c=1 d=3.45128e-44 t=389086
bo qi 	勃起	c=1 d=7.71158e-32 t=389086
bo shi 	博士	c=2 d=2.83388e-225 t=389086
bu 	不	c=764 d=0.563398 t=389086
bu 	布	c=2 d=2.52543e-281 t=389086
bu 	捕	c=1 d=1.2695e-307 t=389086
bu 	步	c=7 d=8.2865e-25 t=389086
bu 	补	c=26 d=1.47252e-82 t=389086
bu 	部	c=4 d=1.95911e-88 t=389086
bu an 	不安	c=1 d=8.46713e-14 t=389086
bu an 	不按	c=3 d=4.54003e-152 t=389086
bu an pai 	不安排	c=1 d=1.02832e-05 t=389086
bu ba 	不把	c=1 d=3.29026e-217 t=389086
bu ban gong 	不办公	c=1 d=6.66167e-163 t=389086
bu bao 	不报	c=3 d=2.09132e-121 t=389086
bu bao cuo 	不报错	c=1 d=0 t=389086
bu bao han 	不包含	c=1 d=1.41778e-195 t=389086
bu bao kuo 	不包括	c=3 d=1.92613e-06 t=389086
bu bei 	不被	c=2 d=2.28608e-51 t=389086
bu bi 	不比	c=4 d=0.0169922 t=389086
bu bian 	不变	c=17 d=8.14925e-05 t=389086
bu biao 	不标	c=2 d=9.11582e-134 t=389086
bu ce 	不测	c=3 d=2.04893e-86 t=389086
bu ce shi 	不测试	c=1 d=0 t=389086
bu cha 	不差	c=0 d=0 t=389086
bu chang 	不长	c=2 d=8.10789e-239 t=389086
bu chang 	补偿	c=2 d=1.08519e-285 t=389086
bu chang yong 	不常用	c=3 d=3.53962e-106 t=389086
bu chao gu 	不炒股	c=1 d=8.70698e-166 t=389086
bu chao pin 	不超频	c=1 d=0 t=389086
bu cheng 	不成	c=1 d=2.8907e-47 t=389086
bu cheng ren 	不承认	c=1 d=7.65281e-89 t=389086
bu chi 	不吃	c=8 d=2.52831e-30 t=389086
bu chi fan 	不吃饭	c=1 d=2.34517e-204 t=389086
bu chi zao fan 	不吃早饭	c=1 d=3.08382e-190 t=389086
bu chong 	补充	c=15 d=4.5643e-09 t=389086
bu chong tu 	不冲突	c=11 d=0.000389752 t=389086
bu chu 	不出	c=10 d=9.89176e-20 t=389086
bu chu lai 	不出来	c=28 d=4.70491e-13 t=389086
bu chuan 	不穿	c=1 d=1.2068e-270 t=389086
bu chuan zhi 	不穿值	c=1 d=7.31981e-95 t=389086
bu cuo 	不错	c=32 d=0.00162057 t=389086
bu cuo le 	不错了	c=1 d=4.99083e-295 t=389086
bu da 	不大	c=153 d=0.275639 t=389086
bu da 	不打	c=1 d=8.84789e-149 t=389086
bu dai 	不带	c=18 d=1.01093e-42 t=389086
bu dai 	不戴	c=1 d=1.13223e-108 t=389086
bu dai biao 	不代表	c=1 d=2.75226e-146 t=389086
bu dao 	不到	c=158 d=0.00052611 t=389086
bu de 	不得	c=17 d=9.52008e-40 t=389086
bu de bu 	不得不	c=2 d=7.99721e-195 t=389086
bu de bu shuo 	不得不说	c=1 d=1.48091e-90 t=389086
bu de bu yong 	不得不用	c=1 d=0 t=389086
